"player_name","Pos","Tm","Age","G","GS","MP","FG","FGA","FGp","x3P","x3PA","x3Pp","x2P","x2PA","x2Pp","eFGp","FT","FTA","FTp","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GSp","AST_to_TOV_ratio","FG_miss","FT_miss","EFF","MP_per_game","ORB_per_game","DRB_per_game","TRB_per_game","AST_per_game","STL_per_game","BLK_per_game","TOV_per_game","PTS_per_game","salary","dollars_per_EFF","dollars_per_PTS_per_game","Starter"
"1","Aaron Gordon","PF","ORL",23,78,78,2633,470,1046,0.449,121,347,0.349,349,699,0.499,0.507,185,253,0.731,129,445,574,289,57,56,162,172,1246,1,1.784,576,68,18.154,33.756,1.654,5.705,7.359,3.705,0.731,0.718,2.077,15.974,21590909,1189329.733,1351597.835,"Starter"
"2","Al Horford","C","BOS",32,68,68,1973,387,723,0.535,73,203,0.36,314,520,0.604,0.586,78,95,0.821,120,338,458,283,59,86,102,126,925,1,2.775,336,17,19.941,29.015,1.765,4.971,6.735,4.162,0.868,1.265,1.5,13.603,28928710,1450702.271,2126651.114,"Starter"
"3","Al-Farouq Aminu","PF","POR",28,81,81,2292,257,593,0.433,96,280,0.343,161,313,0.514,0.514,150,173,0.867,112,498,610,104,68,33,72,143,760,1,1.444,336,23,14.123,28.296,1.383,6.148,7.531,1.284,0.84,0.407,0.889,9.383,6957105,492592.225,741480.928,"Starter"
"4","Andre Drummond","C","DET",25,79,79,2647,561,1052,0.533,5,38,0.132,556,1014,0.548,0.536,243,412,0.59,423,809,1232,112,136,138,175,272,1370,1,0.64,491,169,27.253,33.506,5.354,10.241,15.595,1.418,1.722,1.747,2.215,17.342,25434262,933259.033,1466647.225,"Starter"
"5","Andrew Wiggins","SF","MIN",23,73,73,2543,498,1209,0.412,118,348,0.339,380,861,0.441,0.461,207,296,0.699,83,269,352,184,70,48,138,153,1321,1,1.333,711,89,14.205,34.836,1.137,3.685,4.822,2.521,0.959,0.658,1.89,18.096,25467250,1792776.519,1407349.924,"Starter"
"6","Anthony Davis","C","NOP",25,56,56,1850,530,1026,0.517,48,145,0.331,482,881,0.547,0.54,344,433,0.794,174,498,672,218,88,135,112,132,1452,1,1.946,496,89,33.357,33.036,3.107,8.893,12,3.893,1.571,2.411,2,25.929,25434263,762483.259,980935.763,"Starter"
"7","Avery Bradley","SG_SG","MEM_LAC",28,63,63,1905,248,608,0.846,86,245,0.721,162,363,0.928,0.989,43,50,1.72,43,132,175,152,41,16,89,167,625,1,1.708,360,7,8.778,30.238,0.683,2.095,2.778,2.413,0.651,0.254,1.413,9.921,1.2e+07,1367088.608,1209600,"Starter"
"8","Ben Simmons","PG","PHI",22,79,79,2700,540,960,0.563,0,6,0,540,954,0.566,0.563,257,428,0.6,172,525,697,610,112,61,274,209,1337,1,2.226,420,171,24.709,34.177,2.177,6.646,8.823,7.722,1.418,0.772,3.468,16.924,6434520,260413.463,380199.761,"Starter"
"9","Blake Griffin","PF","DET",29,75,75,2622,619,1341,0.462,189,522,0.362,430,819,0.525,0.532,414,550,0.753,100,465,565,402,52,28,253,199,1841,1,1.589,722,136,23.693,34.96,1.333,6.2,7.533,5.36,0.693,0.373,3.373,24.547,31873932,1345270.062,1298503.476,"Starter"
"10","Bojan Bogdanovic","SF","IND",29,81,81,2573,522,1051,0.497,164,386,0.425,358,665,0.538,0.575,246,305,0.807,33,300,333,161,69,1,134,138,1454,1,1.201,529,59,16,31.765,0.407,3.704,4.111,1.988,0.852,0.012,1.654,17.951,10500000,656250,584938.102,"Starter"
