"Team","Age","W","L","PW","PL","MOV","SOS","SRS","ORtg","DRtg","NRtg","Pace","FTr","x3PAr","TSp","eFGp","TOVp","ORBp","FT/FGA","DRBp","G","MP","FG","FGA","FGp","x3P","x3PA","x3Pp","x2P","x2PA","x2Pp","FT","FTA","FTp","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","MP_per_game","FG_per_game","FGA_per_game","x3P_per_game","x3PA_per_game","x2P_per_game","x2PA_per_game","FT_per_game","FTA_per_game","ORB_per_game","DRB_per_game","TRB_per_game","AST_per_game","STL_per_game","BLK_per_game","TOV_per_game","PF_per_game","PTS_per_game"
"1","Milwaukee Bucks",26.9,60,22,61,21,8.87,-0.82,8.04,113.8,105.2,8.6,103.3,0.255,0.419,0.583,0.55,12,20.8,0.197,80.3,82,19780,3555,7471,0.476,1105,3134,0.353,2450,4337,0.565,1471,1904,0.773,762,3316,4078,2136,615,486,1137,1608,9686,241.22,43.354,91.11,13.476,38.22,29.878,52.89,17.939,23.22,9.293,40.439,49.732,26.049,7.5,5.927,13.866,19.61,118.122
"2","Golden State Warriors",28.4,57,25,56,26,6.46,-0.04,6.42,115.9,109.5,6.4,100.9,0.227,0.384,0.596,0.565,12.6,22.5,0.182,77.1,82,19805,3612,7361,0.491,1087,2824,0.385,2525,4537,0.557,1339,1672,0.801,797,2990,3787,2413,625,525,1169,1757,9650,241.524,44.049,89.768,13.256,34.439,30.793,55.329,16.329,20.39,9.72,36.463,46.183,29.427,7.622,6.402,14.256,21.427,117.683
"3","Toronto Raptors",27.3,58,24,56,26,6.09,-0.6,5.49,113.1,107.1,6,100.2,0.247,0.379,0.579,0.543,12.4,21.9,0.198,77.1,82,19880,3460,7305,0.474,1015,2771,0.366,2445,4534,0.539,1449,1803,0.804,786,2920,3706,2085,680,437,1150,1724,9384,242.439,42.195,89.085,12.378,33.793,29.817,55.293,17.671,21.988,9.585,35.61,45.195,25.427,8.293,5.329,14.024,21.024,114.439
"4","Utah Jazz",27.3,50,32,54,28,5.26,0.03,5.28,110.9,105.7,5.2,100.3,0.295,0.394,0.572,0.538,13.4,22.9,0.217,80.3,82,19755,3314,7082,0.468,993,2789,0.356,2321,4293,0.541,1540,2092,0.736,820,2981,3801,2133,663,483,1240,1728,9161,240.915,40.415,86.366,12.11,34.012,28.305,52.354,18.78,25.512,10,36.354,46.354,26.012,8.085,5.89,15.122,21.073,111.72
"5","Houston Rockets",29.2,53,29,53,29,4.77,0.19,4.96,115.5,110.7,4.8,97.9,0.279,0.519,0.581,0.542,12,22.8,0.221,74.4,82,19830,3218,7163,0.449,1323,3721,0.356,1895,3442,0.551,1582,2001,0.791,836,2613,3449,1741,700,405,1094,1803,9341,241.829,39.244,87.354,16.134,45.378,23.11,41.976,19.293,24.402,10.195,31.866,42.061,21.232,8.537,4.939,13.341,21.988,113.915
"6","Portland Trail Blazers",26.2,53,29,51,31,4.2,0.24,4.43,114.7,110.5,4.2,99.1,0.258,0.339,0.568,0.528,12.1,26.6,0.21,77.9,82,19855,3470,7427,0.467,904,2520,0.359,2566,4907,0.523,1558,1914,0.814,967,2968,3935,1887,546,413,1135,1669,9402,242.134,42.317,90.573,11.024,30.732,31.293,59.841,19,23.341,11.793,36.195,47.988,23.012,6.659,5.037,13.841,20.354,114.659
"7","Denver Nuggets",24.9,54,28,51,31,3.95,0.24,4.19,113,108.9,4.1,97.7,0.232,0.348,0.558,0.527,11.9,26.6,0.175,78,82,19730,3439,7384,0.466,903,2571,0.351,2536,4813,0.527,1294,1714,0.755,972,2832,3804,2245,634,363,1102,1644,9075,240.61,41.939,90.049,11.012,31.354,30.927,58.695,15.78,20.902,11.854,34.537,46.39,27.378,7.732,4.427,13.439,20.049,110.671
"8","Boston Celtics",25.7,49,33,52,30,4.44,-0.54,3.9,112.2,107.8,4.4,99.6,0.215,0.381,0.567,0.534,11.5,21.6,0.173,77,82,19780,3451,7423,0.465,1032,2829,0.365,2419,4594,0.527,1282,1598,0.802,804,2849,3653,2155,706,435,1052,1670,9216,241.22,42.085,90.524,12.585,34.5,29.5,56.024,15.634,19.488,9.805,34.744,44.549,26.28,8.61,5.305,12.829,20.366,112.39
"9","Oklahoma City Thunder",25.7,49,33,50,32,3.4,0.15,3.56,110.3,107,3.3,102.8,0.266,0.347,0.545,0.514,11.7,26,0.19,78.2,82,19855,3497,7706,0.454,932,2677,0.348,2565,5029,0.51,1461,2049,0.713,1031,2911,3942,1917,766,425,1145,1839,9387,242.134,42.646,93.976,11.366,32.646,31.28,61.329,17.817,24.988,12.573,35.5,48.073,23.378,9.341,5.183,13.963,22.427,114.476
"10","Indiana Pacers",27,48,34,50,32,3.33,-0.57,2.76,109.9,106.5,3.4,98.1,0.242,0.292,0.561,0.53,12.4,21.9,0.182,76.2,82,19705,3390,7135,0.475,779,2081,0.374,2611,5054,0.517,1298,1727,0.752,762,2766,3528,2128,713,404,1122,1594,8857,240.305,41.341,87.012,9.5,25.378,31.841,61.634,15.829,21.061,9.293,33.732,43.024,25.951,8.695,4.927,13.683,19.439,108.012
"11","Philadelphia 76ers",26.4,51,31,48,34,2.7,-0.44,2.25,112.6,110,2.6,101.6,0.312,0.342,0.574,0.532,12.9,24.5,0.241,78.6,82,19805,3407,7233,0.471,889,2474,0.359,2518,4759,0.529,1742,2258,0.771,892,3025,3917,2207,606,432,1223,1745,9445,241.524,41.549,88.207,10.841,30.171,30.707,58.037,21.244,27.537,10.878,36.89,47.768,26.915,7.39,5.268,14.915,21.28,115.183
"12","San Antonio Spurs",28.8,48,34,45,37,1.68,0.12,1.8,112.9,111.2,1.7,98.3,0.237,0.286,0.572,0.534,11,21,0.194,79.4,82,19805,3468,7248,0.478,812,2071,0.392,2656,5177,0.513,1408,1720,0.819,757,2910,3667,2013,501,386,992,1487,9156,241.524,42.293,88.39,9.902,25.256,32.39,63.134,17.171,20.976,9.232,35.488,44.72,24.549,6.11,4.707,12.098,18.134,111.659
"13","Los Angeles Clippers",27.2,48,34,43,39,0.85,0.23,1.09,112.4,111.5,0.9,101.7,0.326,0.295,0.575,0.529,12.7,22,0.258,76,82,19830,3384,7178,0.471,821,2118,0.388,2563,5060,0.507,1853,2340,0.792,796,2936,3732,1970,561,385,1193,1913,9442,241.829,41.268,87.537,10.012,25.829,31.256,61.707,22.598,28.537,9.707,35.805,45.512,24.024,6.841,4.695,14.549,23.329,115.146
"14","Orlando Magic",25.7,42,40,43,39,0.71,-0.43,0.28,108.9,108.1,0.8,98.1,0.216,0.36,0.55,0.518,11.9,22,0.168,79.7,82,19780,3316,7307,0.454,937,2633,0.356,2379,4674,0.509,1231,1575,0.782,822,2902,3724,2095,543,445,1082,1526,8800,241.22,40.439,89.11,11.427,32.11,29.012,57,15.012,19.207,10.024,35.39,45.415,25.549,6.622,5.427,13.195,18.61,107.317
